createdAt,Spain,Uk,Switzerland,Dollar,China,HongKong,Usa,India,Europe,France,Netherlands,Poland,Australia,Germany,Japan,usdChf,gbpUsd,usdJpy,eurTry,ethUsd,eurUsd,btcUsd,usdTry,stockmarketTotalCount,stockmarketNegCount,stockmarketNeuCount,stockmarketPosCount,stockmarketNegOverTotal,stockmarketNeuOverTotal,stockmarketPosOverTotal,stockmarketCompoundAverage,dayTotalCount,dayNegCount,dayNeuCount,dayPosCount,dayNegOverTotal,dayNeuOverTotal,dayPosOverTotal,dayCompoundAverage,forexTotalCount,forexNegCount,forexNeuCount,forexPosCount,forexNegOverTotal,forexNeuOverTotal,forexPosOverTotal,forexCompoundAverage,currencyTotalCount,currencyNegCount,currencyNeuCount,currencyPosCount,currencyNegOverTotal,currencyNeuOverTotal,currencyPosOverTotal,currencyCompoundAverage,moneyTotalCount,moneyNegCount,moneyNeuCount,moneyPosCount,moneyNegOverTotal,moneyNeuOverTotal,moneyPosOverTotal,moneyCompoundAverage,exchangeTotalCount,exchangeNegCount,exchangeNeuCount,exchangePosCount,exchangeNegOverTotal,exchangeNeuOverTotal,exchangePosOverTotal,exchangeCompoundAverage,marketTotalCount,marketNegCount,marketNeuCount,marketPosCount,marketNegOverTotal,marketNeuOverTotal,marketPosOverTotal,marketCompoundAverage,tradingTotalCount,tradingNegCount,tradingNeuCount,tradingPosCount,tradingNegOverTotal,tradingNeuOverTotal,tradingPosOverTotal,tradingCompoundAverage,investingTotalCount,investingNegCount,investingNeuCount,investingPosCount,investingNegOverTotal,investingNeuOverTotal,investingPosOverTotal,investingCompoundAverage,dollarTotalCount,dollarNegCount,dollarNeuCount,dollarPosCount,dollarNegOverTotal,dollarNeuOverTotal,dollarPosOverTotal,dollarCompoundAverage,obamaTotalCount,obamaNegCount,obamaNeuCount,obamaPosCount,obamaNegOverTotal,obamaNeuOverTotal,obamaPosOverTotal,obamaCompoundAverage,trumpTotalCount,trumpNegCount,trumpNeuCount,trumpPosCount,trumpNegOverTotal,trumpNeuOverTotal,trumpPosOverTotal,trumpCompoundAverage,dolarTotalCount,dolarNegCount,dolarNeuCount,dolarPosCount,dolarNegOverTotal,dolarNeuOverTotal,dolarPosOverTotal,dolarCompoundAverage,economyTotalCount,economyNegCount,economyNeuCount,economyPosCount,economyNegOverTotal,economyNeuOverTotal,economyPosOverTotal,economyCompoundAverage,breakingTotalCount,breakingNegCount,breakingNeuCount,breakingPosCount,breakingNegOverTotal,breakingNeuOverTotal,breakingPosOverTotal,breakingCompoundAverage,todayTotalCount,todayNegCount,todayNeuCount,todayPosCount,todayNegOverTotal,todayNeuOverTotal,todayPosOverTotal,todayCompoundAverage,stocksTotalCount,stocksNegCount,stocksNeuCount,stocksPosCount,stocksNegOverTotal,stocksNeuOverTotal,stocksPosOverTotal,stocksCompoundAverage,donaldtrumpTotalCount,donaldtrumpNegCount,donaldtrumpNeuCount,donaldtrumpPosCount,donaldtrumpNegOverTotal,donaldtrumpNeuOverTotal,donaldtrumpPosOverTotal,donaldtrumpCompoundAverage,euroTotalCount,euroNegCount,euroNeuCount,euroPosCount,euroNegOverTotal,euroNeuOverTotal,euroPosOverTotal,euroCompoundAverage,usaTotalCount,usaNegCount,usaNeuCount,usaPosCount,usaNegOverTotal,usaNeuOverTotal,usaPosOverTotal,usaCompoundAverage,breakingnewsTotalCount,breakingnewsNegCount,breakingnewsNeuCount,breakingnewsPosCount,breakingnewsNegOverTotal,breakingnewsNeuOverTotal,breakingnewsPosOverTotal,breakingnewsCompoundAverage,stockTotalCount,stockNegCount,stockNeuCount,stockPosCount,stockNegOverTotal,stockNeuOverTotal,stockPosOverTotal,stockCompoundAverage,turkeyTotalCount,turkeyNegCount,turkeyNeuCount,turkeyPosCount,turkeyNegOverTotal,turkeyNeuOverTotal,turkeyPosOverTotal,turkeyCompoundAverage,usdtryTotalCount,usdtryNegCount,usdtryNeuCount,usdtryPosCount,usdtryNegOverTotal,usdtryNeuOverTotal,usdtryPosOverTotal,usdtryCompoundAverage,dollar,netherlands,australia,japan,france,spain,usa,switzerland,china,europe,hongKong,india,poland,germany,uk
1588798800000,6675.129,5821.884,9519.789,100.179,13306.83,23979.12,23623.24,9116.629,2824.449,4405.205,503.14,1570.679,5338.329,10542.56,19376.42,0.97487,1.23371,106.109,7.77138,204.0,1.07939,9197.0,7.19149,975,41,693,241,0.04205128,0.71076924,0.2471795,0.0,288,16,187,85,0.055555556,0.6493056,0.2951389,0.0,0,0,0,0,0.0,0.0,0.0,0.0,312,15,239,58,0.048076924,0.76602566,0.18589744,0.0,1339,69,783,487,0.051530994,0.5847648,0.36370426,0.0,441,1,228,212,0.0022675737,0.5170068,0.48072562,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2463,103,1869,491,0.04181892,0.75883067,0.19935039,0.0,979,42,730,207,0.04290092,0.7456588,0.21144025,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2279,222,943,1114,0.09741115,0.41377798,0.48881087,0.0,16641,5226,8578,2837,0.31404364,0.51547384,0.17048255,0.0,16,0,16,0,0.0,1.0,0.0,0.0,5956,1149,3824,983,0.19291471,0.6420416,0.16504365,0.0,23461,7158,14722,1581,0.30510208,0.6275095,0.06738843,0.0,1818,128,1377,313,0.07040704,0.7574257,0.17216721,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1926,402,794,730.0,0.20872274,0.41225338,0.37902388,0.0,343,35,287,21,0.10204082,0.8367347,0.06122449,0.0,4085,574,2563,948,0.14051408,0.6274174,0.23206854,0.0,2914,601,1874,439,0.2062457,0.6431023,0.15065202,0.0,156,3,120,33,0.01923077,0.7692308,0.21153846,0.0,1116,259,647,210,0.23207885,0.5797491,0.18817204,0.0,170,14,102,54,0.08235294,0.6,0.31764707,0.0,100.179,503.14,5338.329,19376.42,4405.205,6675.129,23623.24,9519.789,13306.83,2824.449,23979.12,9116.629,1570.679,10542.56,5821.884
1588885200000,6722.229,5895.902,9576.459,99.842,13424.83,24005.068,23942.0,9171.479,2866.439,4482.69,513.639,1582.659,5364.939,10719.28,19790.52,0.97294,1.23543,106.276,7.67614,210.0,1.08323,9752.0,7.08345,2419,147,1576,696,0.060768913,0.65150887,0.2877222,0.0,374,6,259,109,0.01604278,0.69251335,0.29144385,0.0,0,0,0,0,0.0,0.0,0.0,0.0,239,23,151,65,0.09623431,0.63179916,0.27196652,0.0,3396,249,2020,1127,0.07332155,0.59481746,0.33186102,0.0,1043,4,496,543,0.0038350911,0.4755513,0.5206136,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7093,333,5371,1389,0.046947695,0.75722545,0.19582687,0.0,2128,100,1507,521,0.04699248,0.7081767,0.24483083,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1747,386,860,501,0.2209502,0.49227247,0.28677735,0.0,26945,8452,11595,6898,0.313676,0.43032104,0.25600296,0.0,96,1,93,2,0.010416667,0.96875,0.020833334,0.0,4452,610,2939,903,0.13701707,0.66015273,0.2028302,0.0,31150,9464,18676,3010,0.30382022,0.59955055,0.09662921,0.0,1294,114,829,351,0.08809892,0.64064914,0.27125195,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3019,496,942,1581.0,0.16429281,0.31202385,0.5236833,0.0,224,32,151,41,0.14285715,0.67410713,0.18303572,0.0,11195,2288,5769,3138,0.20437695,0.51531935,0.28030372,0.0,3971,1041,2502,428,0.2621506,0.630068,0.10778142,0.0,545,30,378,137,0.055045873,0.693578,0.25137615,0.0,4010,1263,2177,570,0.3149626,0.54289275,0.14214464,0.0,124,20,77,27,0.16129032,0.62096775,0.21774194,0.0,99.842,513.639,5364.939,19790.52,4482.69,6722.229,23942.0,9576.459,13424.83,2866.439,24005.068,9171.479,1582.659,10719.28,5895.902
1588971600000,6757.709,5974.084,9679.929,99.784,13573.78,24334.818,24372.76,9264.689,2913.459,4549.69,522.669,1605.629,5400.699,10919.78,20224.52,0.97034,1.24033,106.608,7.77392,213.0,1.08371,9944.0,7.11782,2531,187,1685,659,0.07388384,0.6657448,0.2603714,0.0,446,9,301,136,0.020179372,0.6748879,0.30493274,0.0,0,0,0,0,0.0,0.0,0.0,0.0,239,9,176,54,0.037656903,0.7364017,0.22594142,0.0,3096,205,1892,999,0.06621447,0.6111111,0.32267442,0.0,1048,35,352,661,0.033396948,0.33587787,0.6307252,0.0,0,0,0,0,0.0,0.0,0.0,0.0,6922,347,5330,1245,0.05013002,0.7700087,0.1798613,0.0,2146,84,1530,532,0.03914259,0.71295434,0.24790308,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5963,960,4271,732,0.16099279,0.7162502,0.122757,0.0,28901,8167,14235,6499,0.28258538,0.49254352,0.22487111,0.0,19,1,18,0,0.05263158,0.94736844,0.0,0.0,4655,816,3143,696,0.17529538,0.67518795,0.14951664,0.0,47849,22331,23016,2502,0.4666973,0.48101318,0.052289493,0.0,1294,97,792,405,0.07496136,0.61205566,0.312983,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2755,482,1005,1268.0,0.17495462,0.36479127,0.46025407,0.0,227,16,163,48,0.07048458,0.7180617,0.21145375,0.0,11185,2513,5494,3178,0.22467591,0.49119356,0.28413054,0.0,4276,561,3290,425,0.13119738,0.76941067,0.09939195,0.0,475,19,317,139,0.04,0.6673684,0.29263157,0.0,3351,631,1949,771,0.188302,0.5816174,0.23008057,0.0,59,2,39,18,0.033898305,0.66101694,0.30508474,0.0,99.784,522.669,5400.699,20224.52,4549.69,6757.709,24372.76,9679.929,13573.78,2913.459,24334.818,9264.689,1605.629,10919.78,5974.084
1589058000000,6757.709,5974.084,9679.929,99.784,13573.78,24334.818,24372.76,9264.689,2913.459,4549.69,522.669,1605.629,5400.699,10919.78,20224.52,0.97034,1.24033,106.608,7.77392,213.0,1.08371,9944.0,7.11782,1540,103,849,588,0.06688312,0.5512987,0.38181818,0.0,365,15,231,119,0.04109589,0.6328767,0.3260274,0.0,0,0,0,0,0.0,0.0,0.0,0.0,160,7,126,27,0.04375,0.7875,0.16875,0.0,2720,130,1688,902,0.04779412,0.62058824,0.33161765,0.0,1042,4,562,476,0.0038387715,0.5393474,0.4568138,0.0,0,0,0,0,0.0,0.0,0.0,0.0,4364,194,3442,728,0.04445463,0.7887259,0.16681944,0.0,1328,53,936,339,0.03990964,0.70481926,0.25527108,0.0,0,0,0,0,0.0,0.0,0.0,0.0,6749,1668,4074,1007,0.24714772,0.60364497,0.1492073,0.0,23330,6634,11807,4888,0.2843549,0.5060866,0.20951565,0.0,8,0,7,1,0.0,0.875,0.125,0.0,3838,543,2548,746,0.14147994,0.66388744,0.19437207,0.0,28078,9195,12124,6759,0.32748058,0.43179715,0.24072227,0.0,1496,359,867,270,0.23997326,0.57954544,0.18048128,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2708,328,922,1458.0,0.1211226,0.34047267,0.5384047,0.0,131,9,98,24,0.06870229,0.7480916,0.18320611,0.0,10195,1997,5644,2554,0.19588034,0.5536047,0.25051495,0.0,2405,443,1516,446,0.18419959,0.63035345,0.18544699,0.0,238,11,165,62,0.04621849,0.6932773,0.26050422,0.0,3294,1033,1564,697,0.31360048,0.47480267,0.21159685,0.0,10,2,6,2,0.2,0.6,0.2,0.0,99.784,522.669,5400.699,20224.52,4549.69,6757.709,24372.76,9679.929,13573.78,2913.459,24334.818,9264.689,1605.629,10919.78,5974.084
1589144400000,6757.709,5974.084,9679.929,99.784,13573.78,24334.818,24372.76,9264.689,2913.459,4549.69,522.669,1605.629,5400.699,10919.78,20224.52,0.97224,1.24033,106.517,7.77392,208.0,1.08257,9480.0,7.11782,1471,132,933,406,0.089734875,0.6342624,0.2760027,0.0,903,23,434,446,0.025470654,0.48062015,0.49390918,0.0,0,0,0,0,0.0,0.0,0.0,0.0,185,10,147,28,0.054054055,0.7945946,0.15135135,0.0,2395,111,1533,751,0.046346556,0.6400835,0.31356993,0.0,370,4,202,164,0.010810811,0.54594594,0.44324324,0.0,260,4,186,70,0.015384615,0.7153846,0.26923078,0.0,5250,262,4072,916,0.049904764,0.77561903,0.17447619,0.0,1492,53,1084,355,0.03552279,0.7265416,0.23793566,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11712,5476,5494,742,0.46755466,0.46909153,0.06335382,0.0,31990,11605,14721,5664,0.3627696,0.46017507,0.17705533,0.0,24,0,24,0,0.0,1.0,0.0,0.0,3015,443,1862,710,0.146932,0.61757874,0.23548922,0.0,23718,11773,10479,1466,0.49637407,0.44181633,0.061809596,0.0,1176,61,849,266,0.05187075,0.7219388,0.22619048,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2377,332,941,1103.0,0.13967186,0.39587715,0.4640303,0.0,115,6,100,9,0.052173913,0.8695652,0.07826087,0.0,10405,1844,6317,2244,0.17722249,0.607112,0.21566555,0.0,1982,290,1367,325,0.14631686,0.68970734,0.16397578,0.0,214,10,129,75,0.046728972,0.60280377,0.3504673,0.0,3362,1161,1709,492,0.34533015,0.5083284,0.14634146,0.0,25,2,17,6,0.08,0.68,0.24,0.0,99.784,522.669,5400.699,20224.52,4549.69,6757.709,24372.76,9679.929,13573.78,2913.459,24334.818,9264.689,1605.629,10919.78,5974.084
1589230800000,6703.359,5957.717,9732.489,100.232,13489.58,24417.299,24218.29,9201.979,2895.039,4507.708,522.454,1587.189,5458.489,10874.75,20514.52,0.97292,1.23314,107.644,7.63875,186.0,1.0806,8595.0,7.06005,2443,207,1726,510,0.084731884,0.7065084,0.20875973,0.0,568,18,302,248,0.03169014,0.5316901,0.43661973,0.0,0,0,0,0,0.0,0.0,0.0,0.0,204,12,156,36,0.05882353,0.7647059,0.1764706,0.0,2859,159,1833,867,0.05561385,0.64113325,0.30325288,0.0,397,10,246,141,0.025188917,0.6196474,0.35516372,0.0,914,33,505,376,0.036105033,0.5525164,0.41137856,0.0,6846,351,5228,1267,0.051270816,0.7636576,0.18507157,0.0,2143,112,1537,494,0.05226318,0.7172189,0.23051797,0.0,0,0,0,0,0.0,0.0,0.0,0.0,14176,2561,10312,1303,0.18065745,0.72742665,0.09191591,0.0,32237,9817,17734,4686,0.30452585,0.5501132,0.14536092,0.0,12,0,12,0,0.0,1.0,0.0,0.0,4716,988,2850,878,0.20949958,0.6043257,0.18617472,0.0,22083,5077,12178,4828,0.22990535,0.5514649,0.21862972,0.0,1342,64,989,289,0.047690015,0.73695976,0.21535023,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2267,562,1338,367.0,0.24790472,0.59020734,0.16188796,0.0,176,24,119,33,0.13636364,0.6761364,0.1875,0.0,9812,1261,5795,2756,0.12851611,0.59060335,0.28088054,0.0,4067,773,2954,340,0.19006638,0.7263339,0.0835997,0.0,365,26,253,86,0.07123288,0.6931507,0.23561645,0.0,10253,3198,5714,1341,0.31190872,0.5573003,0.130791,0.0,42,1,32,9,0.023809524,0.7619048,0.21428572,0.0,100.232,522.454,5458.489,20514.52,4507.708,6703.359,24218.29,9732.489,13489.58,2895.039,24417.299,9201.979,1587.189,10874.75,5957.717
1589317200000,6730.539,5913.387,9606.399,100.027,13446.58,24420.27,23665.7,9534.329,2841.669,4411.502,512.309,1622.299,5342.069,10669.28,20154.27,0.96928,1.22591,107.136,7.59058,188.0,1.08478,8760.0,6.99783,2496,174,1856,466,0.069711536,0.74358976,0.18669872,0.0,381,15,200,166,0.03937008,0.5249344,0.43569553,0.0,0,0,0,0,0.0,0.0,0.0,0.0,211,11,152,48,0.0521327,0.7203792,0.22748815,0.0,3008,171,1933,904,0.056848403,0.64261967,0.30053192,0.0,543,6,235,302,0.011049724,0.43278086,0.55616945,0.0,705,48,491,166,0.068085104,0.6964539,0.235461,0.0,7108,302,5633,1173,0.04248734,0.7924873,0.16502532,0.0,2261,158,1543,560,0.06988058,0.6824414,0.24767801,0.0,0,0,0,0,0.0,0.0,0.0,0.0,24512,3464,17807,3241,0.14131854,0.7264605,0.13222095,0.0,44656,14967,20778,8909,0.33516213,0.46529022,0.19950287,0.0,39,0,26,13,0.0,0.6666667,0.33333334,0.0,5925,816,4069,1040,0.13772152,0.68675107,0.17552742,0.0,34814,5005,27698,2111,0.143764,0.79559946,0.060636524,0.0,1583,89,1162,332,0.056222364,0.73404926,0.20972836,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3365,1224,1712,429.0,0.36374444,0.5087667,0.12748885,0.0,183,14,129,40,0.07650273,0.704918,0.21857923,0.0,13325,4925,6170,2230,0.36960602,0.4630394,0.1673546,0.0,4567,766,3203,598,0.16772498,0.70133567,0.13093935,0.0,580,27,472,81,0.046551723,0.8137931,0.13965517,0.0,4127,1046,2074,1007,0.25345287,0.5025442,0.24400291,0.0,62,2,38,22,0.032258064,0.61290324,0.3548387,0.0,100.027,512.309,5342.069,20154.27,4411.502,6730.539,23665.7,9606.399,13446.58,2841.669,24420.27,9534.329,1622.299,10669.28,5913.387
1589403600000,6582.499,5863.19,9580.429,100.254,13424.68,24016.719,23248.25,9208.859,2801.559,4329.014,509.587,1611.189,5348.279,10508.97,20176.47,0.97206,1.22255,107.045,7.54249,197.0,1.08171,9266.0,6.97181,3494,758,2056,680,0.21694334,0.5884373,0.19461934,0.0,357,17,210,130,0.04761905,0.5882353,0.36414567,0.0,0,0,0,0,0.0,0.0,0.0,0.0,266,23,197,46,0.08646616,0.7406015,0.17293233,0.0,3467,194,2070,1203,0.05595616,0.597058,0.34698588,0.0,700,4,407,289,0.0057142857,0.5814286,0.41285715,0.0,789,52,556,181,0.06590621,0.7046895,0.22940432,0.0,7107,404,5603,1100,0.056845363,0.78837764,0.15477698,0.0,2226,139,1463,624,0.062443845,0.6572327,0.28032345,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13681,2907,7822,2952,0.21248446,0.5717418,0.2157737,0.0,33436,8872,17934,6630,0.26534274,0.536368,0.19828928,0.0,38,0,36,2,0.0,0.94736844,0.05263158,0.0,4722,680,3222,820,0.14400677,0.682338,0.17365523,0.0,31894,4163,25598,2133,0.13052611,0.8025961,0.06687778,0.0,1317,68,937,312,0.051632497,0.7114655,0.23690204,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2662,532,1692,438.0,0.19984974,0.6356123,0.16453794,0.0,158,38,108,12,0.24050634,0.6835443,0.07594936,0.0,15191,4205,6585,4401,0.27680865,0.43348035,0.289711,0.0,4746,772,3428,546,0.1626633,0.7222925,0.11504425,0.0,688,20,562,106,0.029069768,0.81686044,0.15406977,0.0,3442,923,1599,920,0.26815805,0.4645555,0.26728645,0.0,25,1,15,9,0.04,0.6,0.36,0.0,100.254,509.587,5348.279,20176.47,4329.014,6582.499,23248.25,9580.429,13424.68,2801.559,24016.719,9208.859,1611.189,10508.97,5863.19
1589490000000,6550.619,5781.884,9536.019,100.316,13466.83,23806.469,23619.5,9132.979,2788.749,4304.22,506.461,1572.679,5352.189,10448.27,20074.47,0.973,1.22232,107.25,7.47619,201.0,1.08042,9602.0,6.91699,2222,233,1594,395,0.104860485,0.71737176,0.17776778,0.0,587,30,390,167,0.051107325,0.6643952,0.28449744,0.0,707,44,442,221,0.062234797,0.6251768,0.3125884,0.0,219,18,147,54,0.08219178,0.6712329,0.24657534,0.0,3207,192,2054,961,0.059869036,0.64047396,0.299657,0.0,836,10,598,228,0.011961723,0.715311,0.27272728,0.0,837,72,569,196,0.086021505,0.67980886,0.23416965,0.0,7393,407,5574,1412,0.055052076,0.75395644,0.19099148,0.0,1996,99,1377,520,0.049599197,0.6898798,0.26052105,0.0,0,0,0,0,0.0,0.0,0.0,0.0,10332,2607,6744,981,0.25232288,0.6527294,0.09494773,0.0,28351,8153,16207,3991,0.28757364,0.57165533,0.14077105,0.0,33,0,33,0,0.0,1.0,0.0,0.0,4801,681,3298,821,0.14184545,0.6869402,0.17100604,0.0,37111,6414,28608,2089,0.17283285,0.7708766,0.05629059,0.0,1995,225,1253,517,0.11278196,0.6280702,0.25914788,0.0,770,24,631,115,0.031168832,0.81948054,0.14935064,0.0,2337,447,1298,592.0,0.19127086,0.55541295,0.25331622,0.0,181,72,95,14,0.39779004,0.5248619,0.07734807,0.0,12925,2041,5913,4971,0.15791103,0.4574855,0.38460347,0.0,5994,450,3972,1572,0.075075075,0.6626627,0.26226225,0.0,887,39,714,134,0.04396843,0.80496055,0.15107103,0.0,4591,681,1894,2016,0.1483337,0.41254628,0.43912002,0.0,28,2,24,2,0.071428575,0.85714287,0.071428575,0.0,100.316,506.461,5352.189,20074.47,4304.22,6550.619,23619.5,9536.019,13466.83,2788.749,23806.469,9132.979,1572.679,10448.27,5781.884
1589576400000,6487.879,5827.696,9509.079,100.4,13235.53,23559.719,23602.24,9033.689,2784.189,4293.205,502.557,1575.799,5439.699,10484.8,20027.27,0.97129,1.21003,107.034,7.46453,192.0,1.08183,9186.0,6.89716,2192,165,1544,483,0.07527372,0.70437956,0.22034672,0.0,436,3,240,193,0.006880734,0.5504587,0.44266054,0.0,0,0,0,0,0.0,0.0,0.0,0.0,255,15,191,49,0.05882353,0.7490196,0.19215687,0.0,2952,177,1872,903,0.05995935,0.63414633,0.30589432,0.0,855,5,619,231,0.0058479533,0.7239766,0.27017543,0.0,842,44,598,200,0.052256532,0.7102138,0.2375297,0.0,6759,446,5053,1260,0.06598609,0.7475958,0.18641812,0.0,19,0,13,6,0.0,0.68421054,0.31578946,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7570,1483,4673,1414,0.19590488,0.61730516,0.18678996,0.0,27708,7904,14991,4813,0.2852606,0.54103506,0.17370434,0.0,10,0,10,0,0.0,1.0,0.0,0.0,4036,520,2824,692,0.12884043,0.6997027,0.17145689,0.0,35640,4960,28074,2606,0.13916947,0.7877104,0.07312009,0.0,1668,128,987,553,0.07673861,0.5917266,0.33153477,0.0,262,6,220,36,0.022900764,0.8396947,0.13740458,0.0,2442,539,1361,542.0,0.22072072,0.5573301,0.22194922,0.0,192,37,140,15,0.19270833,0.7291667,0.078125,0.0,10005,1873,5621,2511,0.1872064,0.5618191,0.2509745,0.0,3267,416,2209,642,0.12733394,0.6761555,0.19651055,0.0,762,22,644,96,0.028871391,0.84514433,0.12598425,0.0,3535,788,1593,1154,0.22291373,0.4506365,0.32644978,0.0,42,4,27,11,0.0952381,0.64285713,0.26190478,0.0,100.4,502.557,5439.699,20027.27,4293.205,6487.879,23602.24,9509.079,13235.53,2784.189,23559.719,9033.689,1575.799,10484.8,5827.696
